,industry,year,month,count,rate
342,Construction,2008,3,1170,0.12
343,Construction,2008,4,1057,0.111
344,Construction,2008,5,809,0.086
345,Construction,2008,6,785,0.08199999999999999
346,Construction,2008,7,783,0.08
347,Construction,2008,8,814,0.08199999999999999
348,Construction,2008,9,970,0.099
349,Construction,2008,10,1078,0.10800000000000001
350,Construction,2008,11,1237,0.127
351,Construction,2008,12,1438,0.153
352,Construction,2009,1,1744,0.182
353,Construction,2009,2,2025,0.214
354,Construction,2009,3,1979,0.21100000000000002
355,Construction,2009,4,1737,0.187
356,Construction,2009,5,1768,0.192
357,Construction,2009,6,1601,0.174
358,Construction,2009,7,1687,0.182
359,Construction,2009,8,1542,0.165
360,Construction,2009,9,1594,0.171
361,Construction,2009,10,1744,0.187
362,Construction,2009,11,1780,0.19399999999999998
363,Construction,2009,12,2044,0.22699999999999998
364,Construction,2010,1,2194,0.247
365,Construction,2010,2,2440,0.271
366,Manufacturing,2000,1,734,0.036000000000000004
367,Manufacturing,2000,2,694,0.034
368,Manufacturing,2000,3,739,0.036000000000000004
369,Manufacturing,2000,4,736,0.037000000000000005
370,Manufacturing,2000,5,685,0.034
371,Manufacturing,2000,6,621,0.031
372,Manufacturing,2000,7,708,0.036000000000000004
373,Manufacturing,2000,8,685,0.034
374,Manufacturing,2000,9,667,0.034
375,Manufacturing,2000,10,693,0.036000000000000004
376,Manufacturing,2000,11,672,0.034
377,Manufacturing,2000,12,653,0.033
378,Manufacturing,2001,1,911,0.046
379,Manufacturing,2001,2,902,0.046
380,Manufacturing,2001,3,954,0.049
381,Manufacturing,2001,4,855,0.044000000000000004
382,Manufacturing,2001,5,903,0.047
383,Manufacturing,2001,6,956,0.05
384,Manufacturing,2001,7,1054,0.055999999999999994
385,Manufacturing,2001,8,1023,0.055
386,Manufacturing,2001,9,996,0.054000000000000006
387,Manufacturing,2001,10,1065,0.057999999999999996
388,Manufacturing,2001,11,1108,0.06
389,Manufacturing,2001,12,1172,0.063
390,Manufacturing,2002,1,1377,0.07400000000000001
391,Manufacturing,2002,2,1296,0.07
392,Manufacturing,2002,3,1367,0.073
393,Manufacturing,2002,4,1322,0.07200000000000001
394,Manufacturing,2002,5,1194,0.066
395,Manufacturing,2002,6,1187,0.066
396,Manufacturing,2002,7,1185,0.066
397,Manufacturing,2002,8,1108,0.062
398,Manufacturing,2002,9,1076,0.061
399,Manufacturing,2002,10,1046,0.059000000000000004
400,Manufacturing,2002,11,1115,0.063
401,Manufacturing,2002,12,1188,0.066
402,Manufacturing,2003,1,1302,0.07200000000000001
403,Manufacturing,2003,2,1229,0.067
404,Manufacturing,2003,3,1222,0.068
405,Manufacturing,2003,4,1199,0.067
406,Manufacturing,2003,5,1150,0.065
407,Manufacturing,2003,6,1232,0.07
408,Manufacturing,2003,7,1193,0.069
409,Manufacturing,2003,8,1186,0.067
410,Manufacturing,2003,9,1175,0.068
411,Manufacturing,2003,10,1041,0.06
412,Manufacturing,2003,11,1034,0.059000000000000004
413,Manufacturing,2003,12,1025,0.059000000000000004
414,Manufacturing,2004,1,1110,0.064
415,Manufacturing,2004,2,1094,0.063
416,Manufacturing,2004,3,1083,0.063
417,Manufacturing,2004,4,1004,0.057999999999999996
418,Manufacturing,2004,5,966,0.055999999999999994
419,Manufacturing,2004,6,957,0.055999999999999994
420,Manufacturing,2004,7,1019,0.06
421,Manufacturing,2004,8,840,0.049
422,Manufacturing,2004,9,852,0.05
423,Manufacturing,2004,10,884,0.053
424,Manufacturing,2004,11,905,0.054000000000000006
425,Manufacturing,2004,12,872,0.051
426,Manufacturing,2005,1,889,0.053
427,Manufacturing,2005,2,889,0.053
428,Manufacturing,2005,3,879,0.053
429,Manufacturing,2005,4,793,0.048
430,Manufacturing,2005,5,743,0.045
431,Manufacturing,2005,6,743,0.044000000000000004
432,Manufacturing,2005,7,883,0.053
433,Manufacturing,2005,8,767,0.047
434,Manufacturing,2005,9,775,0.047
435,Manufacturing,2005,10,800,0.048
436,Manufacturing,2005,11,823,0.049
437,Manufacturing,2005,12,757,0.045
438,Manufacturing,2006,1,778,0.046
439,Manufacturing,2006,2,821,0.049
440,Manufacturing,2006,3,701,0.040999999999999995
441,Manufacturing,2006,4,745,0.045
442,Manufacturing,2006,5,680,0.040999999999999995
443,Manufacturing,2006,6,635,0.038
444,Manufacturing,2006,7,736,0.044000000000000004
445,Manufacturing,2006,8,680,0.040999999999999995
446,Manufacturing,2006,9,632,0.038
447,Manufacturing,2006,10,618,0.037000000000000005
448,Manufacturing,2006,11,702,0.043
449,Manufacturing,2006,12,660,0.04
450,Manufacturing,2007,1,752,0.046
451,Manufacturing,2007,2,774,0.047
452,Manufacturing,2007,3,742,0.045
453,Manufacturing,2007,4,749,0.046
454,Manufacturing,2007,5,651,0.039
455,Manufacturing,2007,6,653,0.04
456,Manufacturing,2007,7,621,0.037000000000000005
457,Manufacturing,2007,8,596,0.036000000000000004
458,Manufacturing,2007,9,673,0.040999999999999995
459,Manufacturing,2007,10,729,0.043
460,Manufacturing,2007,11,762,0.045
461,Manufacturing,2007,12,772,0.046
462,Manufacturing,2008,1,837,0.051
463,Manufacturing,2008,2,820,0.05
464,Manufacturing,2008,3,831,0.05
465,Manufacturing,2008,4,796,0.048
466,Manufacturing,2008,5,879,0.053
467,Manufacturing,2008,6,862,0.052000000000000005
468,Manufacturing,2008,7,908,0.055
469,Manufacturing,2008,8,960,0.057
470,Manufacturing,2008,9,984,0.06
471,Manufacturing,2008,10,1007,0.062
472,Manufacturing,2008,11,1144,0.07
473,Manufacturing,2008,12,1315,0.083
474,Manufacturing,2009,1,1711,0.109
475,Manufacturing,2009,2,1822,0.115
476,Manufacturing,2009,3,1912,0.122
477,Manufacturing,2009,4,1968,0.124
478,Manufacturing,2009,5,2010,0.126
479,Manufacturing,2009,6,2010,0.126
480,Manufacturing,2009,7,1988,0.124
481,Manufacturing,2009,8,1866,0.11800000000000001
482,Manufacturing,2009,9,1876,0.11900000000000001
483,Manufacturing,2009,10,1884,0.122
484,Manufacturing,2009,11,1882,0.125
485,Manufacturing,2009,12,1747,0.11900000000000001
486,Manufacturing,2010,1,1918,0.13
487,Manufacturing,2010,2,1814,0.121
488,Wholesale and Retail Trade,2000,1,1000,0.05
489,Wholesale and Retail Trade,2000,2,1023,0.052000000000000005
490,Wholesale and Retail Trade,2000,3,983,0.051
491,Wholesale and Retail Trade,2000,4,793,0.040999999999999995
492,Wholesale and Retail Trade,2000,5,821,0.043
493,Wholesale and Retail Trade,2000,6,837,0.044000000000000004
494,Wholesale and Retail Trade,2000,7,792,0.040999999999999995
495,Wholesale and Retail Trade,2000,8,853,0.043
496,Wholesale and Retail Trade,2000,9,791,0.040999999999999995
497,Wholesale and Retail Trade,2000,10,739,0.037000000000000005
498,Wholesale and Retail Trade,2000,11,701,0.036000000000000004
499,Wholesale and Retail Trade,2000,12,715,0.037000000000000005
500,Wholesale and Retail Trade,2001,1,908,0.047
501,Wholesale and Retail Trade,2001,2,990,0.052000000000000005
502,Wholesale and Retail Trade,2001,3,1037,0.054000000000000006
503,Wholesale and Retail Trade,2001,4,820,0.043
504,Wholesale and Retail Trade,2001,5,875,0.045
505,Wholesale and Retail Trade,2001,6,955,0.049
506,Wholesale and Retail Trade,2001,7,833,0.043
507,Wholesale and Retail Trade,2001,8,928,0.048
508,Wholesale and Retail Trade,2001,9,936,0.048
509,Wholesale and Retail Trade,2001,10,941,0.048
510,Wholesale and Retail Trade,2001,11,1046,0.053
511,Wholesale and Retail Trade,2001,12,1074,0.054000000000000006
512,Wholesale and Retail Trade,2002,1,1212,0.063
513,Wholesale and Retail Trade,2002,2,1264,0.066
514,Wholesale and Retail Trade,2002,3,1269,0.066
515,Wholesale and Retail Trade,2002,4,1222,0.064
516,Wholesale and Retail Trade,2002,5,1138,0.057999999999999996
517,Wholesale and Retail Trade,2002,6,1240,0.062
518,Wholesale and Retail Trade,2002,7,1132,0.055999999999999994
519,Wholesale and Retail Trade,2002,8,1170,0.057999999999999996
520,Wholesale and Retail Trade,2002,9,1171,0.059000000000000004
521,Wholesale and Retail Trade,2002,10,1212,0.061
522,Wholesale and Retail Trade,2002,11,1242,0.062
523,Wholesale and Retail Trade,2002,12,1150,0.057
524,Wholesale and Retail Trade,2003,1,1342,0.067
525,Wholesale and Retail Trade,2003,2,1238,0.061
526,Wholesale and Retail Trade,2003,3,1179,0.059000000000000004
527,Wholesale and Retail Trade,2003,4,1201,0.06
528,Wholesale and Retail Trade,2003,5,1247,0.062
529,Wholesale and Retail Trade,2003,6,1434,0.069
530,Wholesale and Retail Trade,2003,7,1387,0.066
531,Wholesale and Retail Trade,2003,8,1161,0.055999999999999994
532,Wholesale and Retail Trade,2003,9,1229,0.059000000000000004
533,Wholesale and Retail Trade,2003,10,1189,0.057
534,Wholesale and Retail Trade,2003,11,1156,0.054000000000000006
535,Wholesale and Retail Trade,2003,12,1081,0.05
536,Wholesale and Retail Trade,2004,1,1389,0.065
537,Wholesale and Retail Trade,2004,2,1369,0.065
538,Wholesale and Retail Trade,2004,3,1386,0.068
539,Wholesale and Retail Trade,2004,4,1248,0.061
540,Wholesale and Retail Trade,2004,5,1183,0.057999999999999996
541,Wholesale and Retail Trade,2004,6,1182,0.057999999999999996
542,Wholesale and Retail Trade,2004,7,1163,0.055
543,Wholesale and Retail Trade,2004,8,1079,0.051
544,Wholesale and Retail Trade,2004,9,1127,0.055
545,Wholesale and Retail Trade,2004,10,1138,0.054000000000000006
546,Wholesale and Retail Trade,2004,11,1045,0.05
547,Wholesale and Retail Trade,2004,12,1058,0.05
548,Wholesale and Retail Trade,2005,1,1302,0.063
549,Wholesale and Retail Trade,2005,2,1301,0.062
550,Wholesale and Retail Trade,2005,3,1173,0.055999999999999994
551,Wholesale and Retail Trade,2005,4,1131,0.054000000000000006
552,Wholesale and Retail Trade,2005,5,1145,0.054000000000000006
553,Wholesale and Retail Trade,2005,6,1197,0.057
554,Wholesale and Retail Trade,2005,7,1194,0.055999999999999994
555,Wholesale and Retail Trade,2005,8,1130,0.053
556,Wholesale and Retail Trade,2005,9,1038,0.049
557,Wholesale and Retail Trade,2005,10,1050,0.049
558,Wholesale and Retail Trade,2005,11,1013,0.047
559,Wholesale and Retail Trade,2005,12,968,0.045
560,Wholesale and Retail Trade,2006,1,1203,0.057
561,Wholesale and Retail Trade,2006,2,1141,0.054000000000000006
562,Wholesale and Retail Trade,2006,3,1022,0.049
563,Wholesale and Retail Trade,2006,4,972,0.046
564,Wholesale and Retail Trade,2006,5,1025,0.048
565,Wholesale and Retail Trade,2006,6,1085,0.051
566,Wholesale and Retail Trade,2006,7,1083,0.051
567,Wholesale and Retail Trade,2006,8,977,0.047
568,Wholesale and Retail Trade,2006,9,1008,0.049
569,Wholesale and Retail Trade,2006,10,972,0.047
570,Wholesale and Retail Trade,2006,11,1018,0.048
571,Wholesale and Retail Trade,2006,12,965,0.045
572,Wholesale and Retail Trade,2007,1,1166,0.055
573,Wholesale and Retail Trade,2007,2,1045,0.051
574,Wholesale and Retail Trade,2007,3,896,0.044000000000000004
575,Wholesale and Retail Trade,2007,4,872,0.042
576,Wholesale and Retail Trade,2007,5,795,0.039
577,Wholesale and Retail Trade,2007,6,979,0.046
578,Wholesale and Retail Trade,2007,7,1089,0.052000000000000005
579,Wholesale and Retail Trade,2007,8,1028,0.051
580,Wholesale and Retail Trade,2007,9,1027,0.051
581,Wholesale and Retail Trade,2007,10,907,0.044000000000000004
582,Wholesale and Retail Trade,2007,11,893,0.043
583,Wholesale and Retail Trade,2007,12,1009,0.048
584,Wholesale and Retail Trade,2008,1,1120,0.054000000000000006
585,Wholesale and Retail Trade,2008,2,1007,0.049
586,Wholesale and Retail Trade,2008,3,992,0.049
587,Wholesale and Retail Trade,2008,4,919,0.045
588,Wholesale and Retail Trade,2008,5,1049,0.052000000000000005
589,Wholesale and Retail Trade,2008,6,1160,0.057
590,Wholesale and Retail Trade,2008,7,1329,0.065
591,Wholesale and Retail Trade,2008,8,1366,0.066
592,Wholesale and Retail Trade,2008,9,1277,0.062
593,Wholesale and Retail Trade,2008,10,1313,0.063
594,Wholesale and Retail Trade,2008,11,1397,0.067
595,Wholesale and Retail Trade,2008,12,1535,0.07200000000000001
596,Wholesale and Retail Trade,2009,1,1794,0.087
597,Wholesale and Retail Trade,2009,2,1847,0.08900000000000001
598,Wholesale and Retail Trade,2009,3,1852,0.09
599,Wholesale and Retail Trade,2009,4,1833,0.09
600,Wholesale and Retail Trade,2009,5,1835,0.09
601,Wholesale and Retail Trade,2009,6,1863,0.091
602,Wholesale and Retail Trade,2009,7,1854,0.09
603,Wholesale and Retail Trade,2009,8,1794,0.08800000000000001
604,Wholesale and Retail Trade,2009,9,1809,0.09
605,Wholesale and Retail Trade,2009,10,1919,0.096
606,Wholesale and Retail Trade,2009,11,1879,0.092
607,Wholesale and Retail Trade,2009,12,1851,0.091
608,Wholesale and Retail Trade,2010,1,2154,0.105
609,Wholesale and Retail Trade,2010,2,2071,0.1
610,Transportation and Utilities,2000,1,236,0.043
611,Transportation and Utilities,2000,2,223,0.04
612,Transportation and Utilities,2000,3,192,0.035
613,Transportation and Utilities,2000,4,191,0.034
614,Transportation and Utilities,2000,5,190,0.034
615,Transportation and Utilities,2000,6,183,0.032
616,Transportation and Utilities,2000,7,228,0.039
617,Transportation and Utilities,2000,8,198,0.034
618,Transportation and Utilities,2000,9,231,0.04
619,Transportation and Utilities,2000,10,153,0.027999999999999997
620,Transportation and Utilities,2000,11,129,0.023
621,Transportation and Utilities,2000,12,168,0.031
622,Transportation and Utilities,2001,1,194,0.036000000000000004
623,Transportation and Utilities,2001,2,189,0.034
624,Transportation and Utilities,2001,3,193,0.035
625,Transportation and Utilities,2001,4,232,0.042
626,Transportation and Utilities,2001,5,178,0.031
627,Transportation and Utilities,2001,6,242,0.043
628,Transportation and Utilities,2001,7,236,0.042
629,Transportation and Utilities,2001,8,226,0.039
630,Transportation and Utilities,2001,9,214,0.039
631,Transportation and Utilities,2001,10,321,0.057999999999999996
632,Transportation and Utilities,2001,11,302,0.054000000000000006
633,Transportation and Utilities,2001,12,310,0.055999999999999994
